ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id,cluster_redshift
149.58262843788626,2.140449427387655,0.1049,-14.353,10.0,113.0,552563.0,393.0,0.1109
149.9330698024251,2.6573818143142285,0.1366,-12.639000000000001,9.0,98.0,893327.0,398.0,0.1409
149.9982021036268,2.6980619017015095,0.161,-16.558,10.0,55.0,920786.0,397.0,0.1597
150.57031716326867,2.6370212408228477,0.1622,-13.964,9.0,79.0,881012.0,395.0,0.1696
150.66596676067218,2.7132098958632795,0.1689,-14.186,19.0,57.0,929938.0,403.0,0.1713
150.45421869136766,2.0145517056565896,0.1735,-14.884,8.0,118.0,470789.0,394.0,0.16965
150.70903126555402,2.4242470784786248,0.1768,-13.97,14.0,61.0,740960.0,396.0,0.1712
150.06052304013926,1.9974427423416483,0.1783,-17.035999999999998,14.0,132.0,461375.0,399.0,0.17985
150.70241796891122,2.408928954782597,0.1928,-17.005,8.0,21.0,731731.0,401.0,0.1975
150.6778031362127,2.3351625974393087,0.1942,-13.831,14.0,41.0,681852.0,400.0,0.1917
149.7203954590671,1.709088778230182,0.2152,-14.456,10.0,106.0,278361.0,402.0,0.21195
149.9484727245711,2.461293127274836,0.2166,-16.504,14.0,146.0,765604.0,404.0,0.21965
150.18951636290302,2.5075281180461757,0.22,-21.123,10.0,220.0,798621.0,0.0,0.2217
150.06713819454114,2.197412619032127,0.2202,-16.137,20.0,185.0,589959.0,406.0,0.2142
150.41767972658232,2.4599683888925874,0.2218,-20.959,24.0,261.0,766862.0,1.0,0.2218
149.52977397162712,2.0153477315990056,0.2236,-13.365,12.0,21.0,470965.0,408.0,0.2293
150.41993566324678,2.4402529535481983,0.2296,-18.713,19.0,136.0,753524.0,414.0,0.22955
149.73335198899397,2.332439612538302,0.2303,-15.05,11.0,120.0,679869.0,411.0,0.2299
150.14567075887126,2.4596812494710334,0.2311,-16.064,9.0,89.0,764226.0,416.0,0.2295
150.0591430997338,1.7428622722459919,0.2413,-14.052999999999999,8.0,39.0,299371.0,410.0,0.2423
149.6961963288041,2.6080334642156533,0.2638,-19.07,9.0,53.0,863681.0,423.0,0.2682
149.6712293567671,2.722987300492906,0.2681,-13.974,8.0,76.0,935994.0,424.0,0.26655
149.58048454319638,2.0686694181106664,0.2741,-13.93,13.0,119.0,504724.0,456.0,0.2799
150.442990927989,1.8213545669335196,0.2752,-15.304,8.0,50.0,349125.0,446.0,0.28325
149.80838798676842,2.6012735181466566,0.2772,-15.212,11.0,135.0,857144.0,425.0,0.26899999999999996
150.46898667288147,2.0651531180546803,0.2819,-15.088,16.0,53.0,502409.0,443.0,0.2761
150.42233183908826,1.756046818356156,0.2909,-16.814,9.0,96.0,308029.0,459.0,0.30100000000000005
149.5411200940845,2.7674249414687497,0.2919,-15.200999999999999,9.0,71.0,963106.0,453.0,0.3027
150.52358802480802,1.9774870466466077,0.2943,-18.623,10.0,41.0,449614.0,469.0,0.29
150.1739635141721,2.4257443497385447,0.3002,-17.544,11.0,86.0,742815.0,457.0,0.30945
150.55902522911137,2.606017484149596,0.3027,-14.5,12.0,127.0,860040.0,454.0,0.3056
149.47031489280013,2.035497687453588,0.3071,-17.172,19.0,71.0,483737.0,405.0,0.3163
150.38798179590646,1.9792874632318351,0.3106,-15.739,15.0,159.0,448578.0,468.0,0.3188
150.5069535142511,2.7597037815817225,0.3184,-17.369,10.0,48.0,960115.0,407.0,0.32120000000000004
149.48185532391824,2.0096448610312168,0.3268,-15.707,13.0,72.0,467402.0,463.0,0.32865
150.31739853149264,2.2391888704773333,0.3307,-18.544,11.0,90.0,618687.0,409.0,0.3316
150.48428065221995,1.9775332080077237,0.3315,-14.838,13.0,39.0,447372.0,412.0,0.3386
150.3030141421807,2.1367117495631125,0.3423,-15.493,12.0,40.0,548736.0,415.0,0.3413
150.36936579391278,1.6815968904640426,0.3433,-15.432,10.0,28.0,261100.0,465.0,0.33795
150.40582791326776,1.8191137533470183,0.3438,-15.199000000000002,8.0,23.0,347656.0,464.0,0.3408
150.31037654284427,1.6847485231080084,0.3446,-15.642000000000001,9.0,83.0,263057.0,413.0,0.3402
150.1025239506201,2.5996341047910363,0.3463,-17.538,12.0,53.0,856972.0,417.0,0.3408
150.3706889870297,2.521780646512408,0.35,-19.92,9.0,144.0,805841.0,418.0,0.3426
150.72595852960092,2.68109717633346,0.3505,-16.437,11.0,62.0,908940.0,419.0,0.3506
150.0012341402797,2.0525478683806617,0.3558,-17.562,12.0,27.0,494723.0,421.0,0.3663
150.51663523862175,2.3333986553803068,0.3559,-15.585,9.0,33.0,680943.0,466.0,0.3511
149.78543691127868,1.6510200679096707,0.3564,-15.145999999999999,14.0,50.0,242349.0,476.0,0.364
150.70230346331513,2.732598748753793,0.3596,-15.602,12.0,20.0,941942.0,422.0,0.36755000000000004
150.0667378655809,1.6743057096433382,0.3602,-15.700999999999999,10.0,47.0,256845.0,420.0,0.3594
149.90754650822691,2.3110592432980828,0.3649,-17.243,10.0,100.0,665628.0,426.0,0.37285
149.47966783444403,2.4187147273232044,0.37,-19.805999999999997,13.0,108.0,739259.0,477.0,0.3749
150.28534736203966,2.53383288159193,0.3724,-18.607,8.0,113.0,813354.0,482.0,0.3794
149.83510723821203,2.7691767807072063,0.3799,-15.745,10.0,58.0,964103.0,478.0,0.37825
150.71708991557446,2.762731027358872,0.3812,-15.905,10.0,52.0,960337.0,480.0,0.3774
150.47263286940444,2.7357851009353955,0.3818,-15.463,11.0,69.0,943778.0,479.0,0.3785
149.6627083255385,1.6866756875592757,0.3903,-18.342,10.0,30.0,265005.0,427.0,0.39535
150.16222539147077,1.6880469206061002,0.3939,-16.109,9.0,47.0,265257.0,483.0,0.3932
150.7389784502062,2.0243731417277493,0.4117,-19.805,11.0,78.0,477625.0,486.0,0.4099
150.05027474614442,1.8311128557902487,0.4137,-17.625,9.0,35.0,356696.0,428.0,0.4198
150.61899962660874,2.5932452687539884,0.4148,-15.911,10.0,60.0,852087.0,430.0,0.42385
150.7305655853311,1.984334235106628,0.4151,-19.407,12.0,22.0,452469.0,487.0,0.4103
150.51011864692794,2.4412093839855107,0.4178,-15.91,11.0,97.0,751908.0,492.0,0.42
149.78226621635602,2.5612343602561185,0.4281,-17.645,9.0,75.0,831357.0,429.0,0.4203
149.79439871257128,2.7798401863751483,0.4314,-16.234,9.0,60.0,970941.0,431.0,0.42545
150.65458162019047,2.09237131273417,0.4416,-17.491,8.0,116.0,520265.0,432.0,0.4397
149.8658600316641,1.8353995413401207,0.4417,-19.238,16.0,98.0,358914.0,493.0,0.44179999999999997
150.20619755353098,1.6647455905352442,0.4512,-15.571,9.0,60.0,250883.0,494.0,0.44005
150.46058386133046,1.8422253858676247,0.457,-17.396,8.0,21.0,362950.0,497.0,0.4649
149.46242482660602,2.510379584369851,0.4573,-15.435,8.0,102.0,796552.0,495.0,0.4627
150.1705180658351,1.9769465865563691,0.4661,-17.500999999999998,9.0,65.0,447406.0,433.0,0.4565
149.79523318843823,2.5755093116429983,0.4756,-19.303,9.0,28.0,841243.0,434.0,0.46825
150.1778284455309,1.6596054931329998,0.4773,-17.891,8.0,42.0,248256.0,496.0,0.46375
150.65393659781265,2.6982034793488654,0.4787,-20.919,10.0,23.0,922196.0,2.0,0.4796
150.40173496336877,2.6662511530073485,0.4798,-21.037,11.0,93.0,900841.0,3.0,0.4823
150.12224236274534,2.5979030728491885,0.4809,-18.926,11.0,52.0,856398.0,436.0,0.48265
150.24602570360997,2.3530830702235224,0.4857,-18.689,8.0,82.0,694865.0,435.0,0.4771
149.64312771246102,1.9668081148415983,0.4876,-16.730999999999998,8.0,92.0,440922.0,437.0,0.4827
150.3324203003631,2.4967504820998183,0.4932,-18.546,11.0,90.0,788326.0,439.0,0.5055
149.6190386698087,1.7198949302957216,0.4937,-20.64,8.0,82.0,281724.0,4.0,0.49460000000000004
150.42510021293748,2.5730528033531415,0.4953,-20.668000000000003,8.0,34.0,840483.0,5.0,0.49524999999999997
149.45103719182586,2.685844994242016,0.4955,-21.355999999999998,8.0,36.0,914209.0,6.0,0.49534999999999996
149.9256615467756,2.459536202176733,0.4956,-21.294,10.0,40.0,765962.0,7.0,0.497
149.7230531321681,1.8547623230406016,0.4959,-17.421,16.0,118.0,370241.0,438.0,0.48434999999999995
149.9021781070147,2.4998717260337098,0.4988,-21.635,9.0,55.0,792215.0,8.0,0.4971
149.51370933068003,1.7838884070886707,0.4989,-21.103,11.0,128.0,327113.0,9.0,0.4993
150.66979588699004,2.6706491941674404,0.4997,-20.988000000000003,9.0,56.0,904080.0,10.0,0.49995
149.84512309861887,1.8957066646110103,0.5005,-21.811999999999998,12.0,86.0,399097.0,11.0,0.49724999999999997
150.41559840811894,1.7834842558254107,0.5008,-20.505,9.0,56.0,326430.0,12.0,0.5022500000000001
150.58594446924786,2.551147220625313,0.5009,-20.954,9.0,111.0,826507.0,13.0,0.5009
149.88725158795344,2.2393202504739933,0.5016,-20.596999999999998,8.0,73.0,619474.0,14.0,0.5018
150.40656522854462,2.5900546530694264,0.5022,-17.58,8.0,23.0,850222.0,440.0,0.5133
149.80989754898394,2.640817197934896,0.5023,-22.301,9.0,32.0,885908.0,15.0,0.5005
150.65431095997263,2.5618604251734043,0.5033,-20.791999999999998,14.0,85.0,832860.0,16.0,0.5016
150.3632709861395,1.934301847402288,0.5101,-21.229,8.0,82.0,422561.0,17.0,0.51045
149.4677344916549,2.520530557254028,0.5125,-16.604,12.0,45.0,803776.0,442.0,0.5192
149.44947382768058,2.426525388294296,0.5141,-17.714000000000002,10.0,35.0,742930.0,444.0,0.5226
150.28594318102375,2.21229615091921,0.5211,-20.823,9.0,48.0,601048.0,18.0,0.5193
149.90731902390976,1.668032659338245,0.5237,-16.701,8.0,55.0,252922.0,441.0,0.5193
150.1100333507309,1.9534776323069318,0.5299,-21.709,8.0,62.0,434792.0,19.0,0.5286
150.4373287349979,2.7935754149999514,0.5312,-20.886999999999997,9.0,53.0,980259.0,20.0,0.5339
150.37816942023437,2.469969885689344,0.5318,-21.405,9.0,62.0,772577.0,21.0,0.53105
150.71982266576268,1.9247893922976869,0.5326,-20.325,8.0,29.0,415810.0,445.0,0.5278
150.12744881101156,2.696665415649002,0.5328,-20.872,9.0,75.0,922333.0,22.0,0.5318
150.14631096512147,2.6131156624418868,0.5352,-20.811,8.0,29.0,865972.0,23.0,0.5318
149.9325605161935,2.7844386650977317,0.5377,-20.924,8.0,56.0,975295.0,24.0,0.5388999999999999
150.74525985205617,1.9613431015162728,0.5413,-21.070999999999998,9.0,71.0,438166.0,25.0,0.5437
149.6099024837829,2.43290036560554,0.5443,-16.335,8.0,44.0,746625.0,447.0,0.552
150.08863384061615,1.8805008472230496,0.5471,-21.618000000000002,9.0,96.0,389406.0,26.0,0.5482499999999999
150.1528634240361,1.8770263038890491,0.5519,-21.87,11.0,72.0,387291.0,27.0,0.55035
150.2704450477869,1.7035036908254355,0.5578,-18.081,10.0,29.0,275257.0,449.0,0.5545
149.87371985206863,2.467754547266241,0.5588,-21.003,8.0,88.0,770722.0,28.0,0.56
150.73752279562387,2.2911265129195693,0.5601,-23.038,8.0,63.0,652427.0,29.0,0.5595
149.5750372001831,1.85823614954356,0.5607,-22.365,12.0,99.0,374994.0,30.0,0.5592
150.49174338558916,2.047167334277023,0.5608,-18.354,14.0,123.0,491127.0,448.0,0.5539
150.05745242104058,1.7336514128172114,0.5662,-20.939,9.0,88.0,295328.0,31.0,0.56585
150.3787436695364,1.9630023624805701,0.5662,-21.261,9.0,54.0,439905.0,32.0,0.5662
149.68559287872293,2.2453218475149463,0.5665,-21.533,9.0,80.0,624279.0,33.0,0.56625
150.62320489876586,2.4933497341205104,0.5708,-21.436,10.0,40.0,787586.0,34.0,0.57215
149.44376178781027,2.3934976236879626,0.5747,-20.818,10.0,56.0,722423.0,35.0,0.5752
149.8769174236384,2.2213315453298166,0.5748,-21.791999999999998,9.0,54.0,608631.0,36.0,0.5740000000000001
149.82628573931905,1.9585300695228,0.58,-21.564,9.0,68.0,438246.0,37.0,0.5798
150.2989518321624,2.777287646414355,0.5803,-17.014,8.0,32.0,969227.0,451.0,0.5865
150.138747022601,2.7651114209220564,0.5831,-17.82,8.0,47.0,962069.0,452.0,0.5895
150.29091778380533,1.6559646329492326,0.5915,-18.607,9.0,49.0,245627.0,450.0,0.5851
150.4219964031566,2.369696922387193,0.593,-21.533,9.0,40.0,707181.0,38.0,0.59335
149.59570290180125,1.8840452055938277,0.6,-21.668000000000003,12.0,136.0,390936.0,39.0,0.6
149.6262344901867,1.9013450501109532,0.6039,-20.772,27.0,141.0,401396.0,40.0,0.6042
149.79428137478192,2.464786915676236,0.6044,-20.502,11.0,78.0,768933.0,41.0,0.6039
150.39832037838275,2.0173172617610304,0.6061,-21.149,8.0,41.0,473902.0,42.0,0.6051
149.99490110667057,2.5750190013844447,0.6065,-16.804000000000002,8.0,107.0,840031.0,455.0,0.5947
150.43031531156169,2.7656014385314016,0.6079,-20.36,8.0,31.0,963187.0,460.0,0.6059
150.3177340371689,2.3353584029233385,0.61,-21.926,9.0,88.0,683541.0,43.0,0.60915
150.1067872427279,2.5075338399433407,0.6129,-17.066,8.0,94.0,794590.0,458.0,0.60055
150.1680369026123,1.7034511226018736,0.6154,-21.184,12.0,83.0,276430.0,44.0,0.6155
150.38206544158703,2.474086107773461,0.6191,-21.611,9.0,98.0,775225.0,45.0,0.62045
150.05095669303552,2.5726807872064423,0.6192,-22.579,12.0,72.0,841503.0,46.0,0.6178
149.84178726517294,2.0260872946349253,0.6192,-18.065,10.0,20.0,478040.0,461.0,0.6062000000000001
150.11863681680143,1.7163554933315424,0.6195,-21.559,10.0,52.0,285310.0,47.0,0.61745
150.75143293025943,2.7949693760432583,0.62,-21.081999999999997,8.0,59.0,981290.0,48.0,0.6208
149.69343155470904,2.35751314440434,0.6223,-20.609,9.0,34.0,698564.0,49.0,0.6226
149.66263460613732,2.3317437638155667,0.6233,-20.851,9.0,27.0,680878.0,50.0,0.6228
149.92228212730862,2.502896852283196,0.6238,-20.596,17.0,62.0,792783.0,51.0,0.6228499999999999
150.37682865461417,2.186290782918375,0.6251,-21.139,8.0,67.0,585216.0,52.0,0.6251
150.4469507986332,2.0013605619928305,0.626,-20.518,8.0,76.0,463299.0,53.0,0.6266
149.76109979992745,1.7186699819049918,0.6264,-20.983,9.0,109.0,285921.0,54.0,0.6248
150.05078971870824,2.3258085146952365,0.6291,-20.563000000000002,15.0,75.0,676477.0,55.0,0.6291
150.67283777811247,2.3875715106233133,0.6298,-20.848000000000003,10.0,104.0,718529.0,56.0,0.6298
149.9646411721111,2.570208905706162,0.6299,-20.905,8.0,88.0,837955.0,57.0,0.63185
149.61003837332845,1.880837322717072,0.63,-20.744,13.0,117.0,388138.0,58.0,0.629
150.00089093650362,2.7061335751078697,0.6321,-20.747,9.0,83.0,926382.0,59.0,0.6322
150.44007570030496,2.123529104290803,0.6334,-20.791999999999998,8.0,63.0,541423.0,60.0,0.6336
150.4921665894459,2.4529839251885064,0.6343,-19.492,15.0,123.0,760287.0,462.0,0.6436
150.49659277912343,2.3224455198763527,0.6475,-21.011,8.0,73.0,674902.0,61.0,0.65
150.39565803602613,2.765518277902096,0.6553,-20.956,13.0,103.0,963256.0,62.0,0.6525
150.0588901980715,2.2924632726642344,0.6592,-20.648000000000003,10.0,135.0,654427.0,63.0,0.6582
150.5605911984591,2.0341130558454976,0.6595,-20.682,9.0,105.0,483896.0,64.0,0.6606
150.72690775538084,2.0004038711243948,0.6598,-21.579,9.0,47.0,462672.0,65.0,0.6602
149.95856608276117,2.5204069272009644,0.66,-22.034000000000002,14.0,181.0,806818.0,67.0,0.6613
149.44891124151778,2.6376971272163754,0.66,-20.701,9.0,69.0,882691.0,68.0,0.66
150.01430692987608,2.7400101539434494,0.66,-21.439,11.0,73.0,947617.0,66.0,0.6608
149.84770316787768,2.7570509122785687,0.6603,-20.956999999999997,11.0,98.0,957749.0,69.0,0.6619
149.93971867161503,2.482820655723206,0.6609,-21.171999999999997,21.0,136.0,780088.0,70.0,0.66265
149.85556586350896,2.5568248048181075,0.6614,-21.324,9.0,134.0,829266.0,71.0,0.6633
149.53144498157434,1.7167147331842982,0.6615,-22.311,10.0,31.0,285653.0,72.0,0.6641
149.5437243058433,2.018890157549985,0.6618,-21.824,9.0,120.0,474838.0,73.0,0.664
149.72637112872084,1.6879633680253128,0.6651,-20.733,8.0,36.0,266517.0,74.0,0.6603
149.906402392379,1.8160906542963784,0.6651,-20.965,8.0,22.0,347007.0,75.0,0.6666
150.1432543871485,2.592350411374799,0.6654,-16.736,12.0,63.0,851432.0,470.0,0.6656
150.47129622336192,2.366108508845893,0.6662,-21.662,15.0,31.0,705120.0,76.0,0.66
150.2584234107832,1.9380769966233335,0.6696,-21.973000000000003,10.0,108.0,424509.0,77.0,0.6695
150.4585962856119,2.7485071668192593,0.6703,-18.418,11.0,58.0,951756.0,467.0,0.65875
149.93852314143604,2.5212164029710165,0.6712,-21.324,28.0,229.0,806069.0,78.0,0.6712
149.79502237846106,2.538272246528939,0.6723,-21.164,9.0,111.0,817070.0,79.0,0.6698
150.00245526981936,2.63057862293252,0.6726,-20.855999999999998,8.0,183.0,878355.0,80.0,0.6705
150.48832835872508,1.9180965257790137,0.6728,-21.947,10.0,37.0,412618.0,81.0,0.6711
150.6287903107964,2.6923996273589808,0.6732,-21.471,10.0,86.0,917603.0,82.0,0.6716500000000001
150.69388436321267,2.1264766875959653,0.6732,-21.336,8.0,47.0,545995.0,83.0,0.6732
149.5018808186796,2.193833667226754,0.6739,-21.62,8.0,81.0,589190.0,84.0,0.6721
150.11368964707052,2.2755780838109825,0.6745,-21.369,12.0,70.0,643919.0,85.0,0.67415
150.208325448244,2.04850383972759,0.6771,-20.944000000000003,8.0,53.0,493186.0,86.0,0.6742
149.88487953102967,2.2384967521518666,0.6771,-22.123,11.0,70.0,619361.0,87.0,0.6776
149.5723321946112,2.1227638831791205,0.6775,-20.982,9.0,64.0,540781.0,88.0,0.6789
150.74289087328074,2.42712288525503,0.6781,-22.085,9.0,71.0,744813.0,89.0,0.6785
150.2869952789478,2.573454716753832,0.68,-23.49,12.0,91.0,841072.0,90.0,0.6787
150.19791235539884,1.6870036017602466,0.682,-21.706,9.0,57.0,266227.0,91.0,0.6821
149.86342438080962,2.3598694896151984,0.6883,-16.371,8.0,45.0,698703.0,472.0,0.6949
150.46220475433074,2.1097437147930758,0.6883,-20.673000000000002,10.0,93.0,531911.0,92.0,0.6897
149.51949311424949,2.08061836303542,0.6887,-19.403,14.0,31.0,513342.0,471.0,0.6808
150.38792906477155,1.8544452291765623,0.6899,-21.664,8.0,104.0,371390.0,93.0,0.68995
149.73112951627326,1.9282727136305904,0.691,-22.261999999999997,10.0,102.0,419070.0,94.0,0.69095
149.5743332206895,2.109461985172172,0.6911,-22.189,10.0,119.0,533018.0,95.0,0.6922
150.66089326507833,2.711122898517456,0.6915,-20.616999999999997,8.0,48.0,929482.0,96.0,0.69035
149.69157779105575,1.7629859483709425,0.6916,-21.235,8.0,81.0,313215.0,97.0,0.6905
149.64389332622974,2.0776849019627956,0.6941,-20.834,10.0,70.0,511703.0,98.0,0.6961
149.8557000265494,1.7079322175424194,0.6944,-22.155,8.0,81.0,279484.0,99.0,0.6940000000000001
149.53954182446816,2.0114260839500537,0.6948,-22.081999999999997,12.0,90.0,470180.0,100.0,0.7001
150.5287194555999,2.1193850234300675,0.6954,-21.12,14.0,114.0,538696.0,101.0,0.69645
150.21526123334013,1.7312659265514752,0.6964,-21.275,8.0,81.0,294536.0,102.0,0.6931
149.96968788792972,2.7674442823603482,0.6986,-20.776999999999997,8.0,98.0,964234.0,103.0,0.6983
150.40938496075276,1.9813697260654504,0.6989,-21.908,10.0,64.0,451544.0,104.0,0.69925
150.37274692323464,2.3982365489655804,0.6990000000000001,-20.889,8.0,111.0,724965.0,105.0,0.6995
150.28664172158497,2.4438322530024728,0.6993,-21.561999999999998,9.0,106.0,755079.0,106.0,0.69775
149.89565958698645,1.6349520586168222,0.7,-20.625,10.0,55.0,233575.0,107.0,0.6963
150.0683380081062,2.4743867106102533,0.7003,-22.273000000000003,13.0,149.0,775925.0,108.0,0.7028
149.96107624278363,2.2387638514417505,0.7004,-21.218000000000004,10.0,100.0,619895.0,109.0,0.70225
150.13329440462076,2.1591842592390265,0.7019,-21.451999999999998,8.0,126.0,566125.0,110.0,0.7011499999999999
150.27308553433446,1.8552401040780773,0.7031,-22.509,8.0,83.0,373099.0,111.0,0.7012
150.14632399820462,2.1878272667897742,0.7032,-22.263,10.0,142.0,585828.0,112.0,0.7027
149.7547504204851,2.4824789469254407,0.7034,-20.781999999999996,9.0,113.0,780074.0,113.0,0.7069
149.84240333284848,2.576462597897024,0.7057,-20.519000000000002,8.0,149.0,842450.0,114.0,0.7041
150.10423659528425,1.809008515347168,0.7063,-21.945999999999998,8.0,51.0,343874.0,115.0,0.7063
149.57057159134345,2.618054324003995,0.7089,-21.204,9.0,109.0,869066.0,116.0,0.711
149.79270882767074,2.301330138804216,0.7093,-22.807,8.0,85.0,661700.0,117.0,0.7114
150.16522265819935,1.6208311802929771,0.7094,-21.515,10.0,57.0,224912.0,118.0,0.7094
149.4624867639362,2.147229108499239,0.7097,-22.38,8.0,86.0,558276.0,119.0,0.70965
150.11195124965366,1.8764725207517752,0.7099,-21.823,11.0,33.0,386125.0,120.0,0.7114
150.13453774508082,2.466740033533352,0.711,-23.049,8.0,67.0,770581.0,121.0,0.7093
149.51145352053348,2.4061386362963746,0.7120000000000001,-21.561999999999998,12.0,76.0,731189.0,122.0,0.7113
149.43817968143733,2.635502165332269,0.7121,-20.514,8.0,73.0,881177.0,123.0,0.7113
149.6181917298546,2.721985562787544,0.7123,-21.561999999999998,10.0,89.0,936600.0,124.0,0.7123
150.63081277008638,1.9989170242062542,0.7124,-21.809,13.0,97.0,462336.0,125.0,0.7102
149.9906856089279,2.343864184976236,0.7139,-20.938000000000002,11.0,145.0,690603.0,126.0,0.7163
150.27391092778663,2.7385257915468264,0.7148,-21.445,8.0,86.0,946699.0,127.0,0.71665
150.44038631706619,2.07253930836126,0.7182,-22.538,11.0,55.0,509937.0,128.0,0.7169
150.07427762827734,1.697477744211617,0.7189,-20.699,8.0,45.0,272132.0,129.0,0.7193
150.01055635444774,2.2925673255504404,0.7196,-22.66,10.0,168.0,656362.0,130.0,0.72285
149.67320407726342,2.5830791571690885,0.7205,-23.483,9.0,37.0,848282.0,131.0,0.7181
150.56059543519365,2.7872639684328253,0.7208,-20.839000000000002,9.0,64.0,976354.0,132.0,0.72045
150.21202059589726,2.1840272339862903,0.721,-20.68,9.0,28.0,581702.0,133.0,0.7222
150.70296534636788,1.935012480964828,0.722,-22.003,8.0,73.0,423072.0,134.0,0.7245
150.13353231555573,2.5140682539985137,0.7223,-21.531999999999996,8.0,130.0,801268.0,135.0,0.70735
149.83028123919888,2.5747326005704734,0.7231,-21.493000000000002,10.0,148.0,841237.0,136.0,0.72305
149.69961407867447,2.720847519914181,0.7241,-21.563000000000002,8.0,100.0,935936.0,137.0,0.7257
150.1487250041951,2.5981726012271547,0.7241,-20.816,11.0,123.0,857134.0,138.0,0.725
150.49748608230098,1.945163716973404,0.7252,-20.823,10.0,83.0,429006.0,139.0,0.7255
149.57289116305037,2.110439667896124,0.7274,-20.645,9.0,55.0,532129.0,140.0,0.7243
150.59134280787566,2.0307886138987525,0.7285,-20.98,9.0,87.0,481190.0,141.0,0.7267
150.0438838673609,2.20717538612944,0.7288,-22.000999999999998,10.0,127.0,598560.0,142.0,0.7268
149.67578815717786,2.6694400305450907,0.7298,-21.165,9.0,81.0,903277.0,143.0,0.7311
150.54480334626098,2.104872986399258,0.73,-20.528000000000002,10.0,113.0,529585.0,144.0,0.7306
150.05264914864262,2.675756970476764,0.7301,-21.193,10.0,146.0,906923.0,145.0,0.7323999999999999
150.51605000264877,2.6784148873285503,0.7304,-20.607,12.0,114.0,908508.0,146.0,0.7319
149.83728876218834,1.9859041182805057,0.7314,-22.127,9.0,69.0,455156.0,147.0,0.731
150.2254228001229,1.7718611512036515,0.732,-22.084,9.0,26.0,318995.0,148.0,0.7316
149.7515651696076,1.887554421175285,0.7329,-21.485,16.0,68.0,393441.0,149.0,0.73335
149.56072609065674,2.398888533945398,0.7332,-21.776,10.0,22.0,726444.0,150.0,0.7329
150.16417539026656,2.5838737987358096,0.7334,-20.546999999999997,10.0,30.0,846998.0,151.0,0.73255
150.08047480231647,2.5332183599881564,0.7338,-21.265,12.0,140.0,814141.0,152.0,0.7339
149.63021713128626,2.251310949555336,0.7341,-20.579,8.0,82.0,626950.0,153.0,0.73285
150.69477555825526,2.1155406051087757,0.7343,-21.17,9.0,87.0,535578.0,154.0,0.7356
